date,value,cash,holdings_value,shares
2016-02-10 05:00:00,10000.0,10000.0,0.0,0
2016-02-11 05:00:00,10000.0,10000.0,0.0,0
2016-02-12 05:00:00,10000.0,10000.0,0.0,0
2016-02-16 05:00:00,10000.0,10000.0,0.0,0
2016-02-17 05:00:00,10000.0,10000.0,0.0,0
2016-02-18 05:00:00,10000.0,10000.0,0.0,0
2016-02-19 05:00:00,10000.0,10000.0,0.0,0
2016-02-22 05:00:00,10000.0,10000.0,0.0,0
2016-02-23 05:00:00,10000.0,10000.0,0.0,0
2016-02-24 05:00:00,10000.0,10000.0,0.0,0
2016-02-25 05:00:00,10000.0,10000.0,0.0,0
2016-02-26 05:00:00,10000.0,10000.0,0.0,0
2016-02-29 05:00:00,10000.0,10000.0,0.0,0
2016-03-01 05:00:00,10000.0,10000.0,0.0,0
2016-03-02 05:00:00,10000.0,10000.0,0.0,0
2016-03-03 05:00:00,10000.0,10000.0,0.0,0
2016-03-04 05:00:00,10000.0,10000.0,0.0,0
2016-03-07 05:00:00,10000.0,10000.0,0.0,0
2016-03-08 05:00:00,10000.0,10000.0,0.0,0
2016-03-09 05:00:00,10000.0,10000.0,0.0,0
2016-03-10 05:00:00,10000.0,10000.0,0.0,0
2016-03-11 05:00:00,10000.0,10000.0,0.0,0
2016-03-14 04:00:00,10000.0,10000.0,0.0,0
2016-03-15 04:00:00,10000.0,10000.0,0.0,0
2016-03-16 04:00:00,10000.0,10000.0,0.0,0
2016-03-17 04:00:00,10000.0,10000.0,0.0,0
2016-03-18 04:00:00,10000.0,10000.0,0.0,0
2016-03-21 04:00:00,10000.0,10000.0,0.0,0
2016-03-22 04:00:00,10000.0,10000.0,0.0,0
2016-03-23 04:00:00,10000.0,10000.0,0.0,0
2016-03-24 04:00:00,10000.0,10000.0,0.0,0
2016-03-28 04:00:00,10000.0,10000.0,0.0,0
2016-03-29 04:00:00,10000.0,10000.0,0.0,0
2016-03-30 04:00:00,10000.0,10000.0,0.0,0
2016-03-31 04:00:00,10000.0,10000.0,0.0,0
2016-04-01 04:00:00,10000.0,10000.0,0.0,0
2016-04-04 04:00:00,10000.0,10000.0,0.0,0
2016-04-05 04:00:00,10000.0,10000.0,0.0,0
2016-04-06 04:00:00,10000.0,10000.0,0.0,0
2016-04-07 04:00:00,10000.0,10000.0,0.0,0
2016-04-08 04:00:00,10000.0,10000.0,0.0,0
2016-04-11 04:00:00,10000.0,10000.0,0.0,0
2016-04-12 04:00:00,10000.0,10000.0,0.0,0
2016-04-13 04:00:00,10000.0,10000.0,0.0,0
2016-04-14 04:00:00,10000.0,10000.0,0.0,0
2016-04-15 04:00:00,10000.0,10000.0,0.0,0
2016-04-18 04:00:00,10000.0,10000.0,0.0,0
2016-04-19 04:00:00,10000.0,10000.0,0.0,0
2016-04-20 04:00:00,10000.0,10000.0,0.0,0
2016-04-21 04:00:00,9990.511073,501.584073,9488.927,395
2016-04-22 04:00:00,9964.559573,501.584073,9462.9755,395
2016-04-25 04:00:00,9910.800072999999,501.584073,9409.215999999999,395
2016-04-26 04:00:00,9845.427573,501.584073,9343.8435,395
2016-04-27 04:00:00,9260.748573,501.584073,8759.1645,395
2016-04-28 04:00:00,8992.978073,501.584073,8491.394,395
2016-04-29 04:00:00,8895.373573,501.584073,8393.7895,395
2016-05-02 04:00:00,8886.446573,501.584073,8384.8625,395
2016-05-03 04:00:00,9024.341073,501.584073,8522.757,395
2016-05-04 04:00:00,8935.703073,501.584073,8434.119,395
2016-05-05 04:00:00,8901.456573,501.584073,8399.8725,395
2016-05-06 04:00:00,8854.609573,501.584073,8353.0255,395
