datetime,Open,High,Low,Close,Volume,BollingerUpper,BollingerLower,MA_5,MA_10,EMA_12,EMA_26,PSARl,KAMA
2026-02-06 05:00:00,277.16,280.905,276.925,278.12,50050812.0,281.9501494701597,266.0538505298403,274.002,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-02-05 05:00:00,278.13,279.5,273.23,275.91,52977400.0,281.9501494701597,266.0538505298403,274.002,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-02-04 05:00:00,272.29,278.95,272.29,276.49,90545700.0,281.9501494701597,266.0538505298403,274.002,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-02-03 05:00:00,269.2,271.88,267.61,269.48,64394700.0,281.9501494701597,266.0538505298403,274.002,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-02-02 05:00:00,260.03,270.49,259.21,270.01,73913400.0,281.9501494701597,266.0538505298403,274.002,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-30 05:00:00,255.17,261.9,252.18,259.48,92443400.0,283.9712157754779,256.5767842245222,270.27400000000006,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-29 05:00:00,258.0,259.65,254.41,258.28,67253000.0,282.1603937141509,251.33560628584905,266.748,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-28 05:00:00,257.65,258.86,254.51,256.44,41288000.0,275.7183574681131,249.75764253188692,262.738,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-27 05:00:00,259.17,261.95,258.21,258.27,49648300.0,271.3525795718541,249.63942042814597,260.49600000000004,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-26 05:00:00,251.48,256.56,249.8,255.41,55969200.0,260.8293859285364,254.32261407146362,257.576,265.78900000000004,262.8566666666666,261.34076923076924,273.23,265.78900000000004
2026-01-23 05:00:00,247.32,249.41,244.68,248.04,41689000.0,263.75675905903563,246.8192409409644,255.288,262.781,262.8566666666666,261.34076923076924,273.23,260.0585920897021
2026-01-22 05:00:00,249.2,251.0,248.15,248.35,39708300.0,262.850962247281,243.75303775271897,253.302,260.025,262.8566666666666,261.34076923076924,273.23,256.49413653440763
2026-01-21 05:00:00,248.7,251.56,245.18,247.65,54641700.0,261.43479976543847,241.6532002345615,251.54399999999998,257.141,260.5171794871795,261.34076923076924,273.23,253.59448727918095
2026-01-20 05:00:00,252.73,254.79,243.42,246.7,80267500.0,256.24998575497114,242.21001424502884,249.23,254.86300000000003,258.39145956607496,261.34076923076924,273.23,251.49128809645924
2026-01-16 05:00:00,257.9,258.9,254.93,255.53,72142800.0,256.3796522508468,242.12834774915322,249.25400000000002,253.41500000000002,257.951235017448,261.34076923076924,243.42,251.86433670311015
2026-01-15 05:00:00,260.65,261.04,257.05,258.21,39388600.0,261.71993558262307,240.8560644173769,251.28799999999998,253.288,257.9910450147637,261.34076923076924,243.72959999999998,251.91721255691616
2026-01-14 05:00:00,259.49,261.82,256.71,259.96,40019400.0,265.7935380739749,241.42646192602504,253.60999999999999,253.456,258.29396116633853,261.34076923076924,244.42201599999999,251.99644745097333
2026-01-13 05:00:00,258.72,261.81,258.39,261.05,45730800.0,267.79472077018806,244.78527922981195,256.29,253.91699999999997,258.717967140748,261.34076923076924,245.46589504,252.23511470203198
2026-01-12 05:00:00,259.16,261.3,256.8,260.25,45263800.0,263.39904535098196,254.600954649018,259.0,254.115,258.95366450370983,261.34076923076924,246.4471413376,252.32881631447148
2026-01-09 05:00:00,259.08,260.21,256.22,259.37,39997000.0,261.88896204586416,257.6470379541359,259.76800000000003,254.51100000000002,259.0177161185237,261.34076923076924,247.36951285734398,252.5058022144574
2026-01-08 05:00:00,257.02,259.29,255.7,259.04,50419300.0,261.50349673462426,258.3645032653758,259.934,255.611,259.0211444079816,261.34076923076924,248.23654208590335,253.69198867944652
2026-01-07 05:00:00,263.2,263.68,259.81,260.33,48309800.0,261.6179937888067,258.3980062111934,260.00800000000004,256.809,259.22250680675364,261.34076923076924,249.05154956074915,254.96711641368063
2026-01-06 05:00:00,267.0,267.55,262.12,262.36,52352100.0,262.85746980658644,257.68253019341364,260.27000000000004,258.28000000000003,259.7051980672531,261.34076923076924,250.22182559588921,256.7703194070847
2026-01-05 05:00:00,270.64,271.51,266.14,267.26,45647200.0,268.43415054549934,254.90984945450072,261.672,260.336,260.8674752876757,261.34076923076924,251.9546430363003,260.1567635770152
2026-01-02 05:00:00,272.26,277.84,269.0,271.01,37838100.0,274.02635526998705,253.97364473001292,264.0,261.884,262.42786370495634,261.34076923076924,254.30128587194426,263.3513041526178
2025-12-31 05:00:00,273.06,273.68,271.75,271.86,27293600.0,276.8029120515805,256.32508794841954,266.564,263.24899999999997,263.87896159650154,261.34076923076924,257.5967058498721,265.73846523912994
2025-12-30 05:00:00,272.81,274.08,272.28,273.08,22139600.0,277.82711195842234,260.40088804157773,269.11400000000003,264.56100000000004,265.29450596627055,262.2103418803419,260.43076703088997,267.7653599229756
2025-12-29 05:00:00,272.69,274.36,272.35,273.76,23715200.0,276.48272479114405,266.30527520885596,271.394,265.832,266.5968896637674,263.06587211142767,262.86805964656537,269.3986643382637
2025-12-26 05:00:00,274.16,275.37,272.86,273.4,21521800.0,274.9218434729357,270.32215652706435,272.622,267.147,267.6435220231878,263.8313630661367,264.9641312960462,270.61170347910206
2025-12-24 05:00:00,272.34,275.43,272.2,273.81,17910600.0,274.7738793924181,271.5901206075819,273.182,268.591,268.59221094269736,264.570521357534,266.76675291459975,271.81799941236756
2025-12-23 05:00:00,270.84,272.5,269.56,272.36,29642000.0,274.470309723938,272.093690276062,273.282,269.923,269.171870797667,265.14751977549446,268.3170075065558,271.9748723224
2025-12-22 05:00:00,272.86,273.88,270.51,270.97,36571800.0,275.2737522656655,270.4462477343345,272.86,270.987,269.44850605956435,265.5788146069393,269.56,271.7798805900078
2025-12-19 05:00:00,272.15,274.6,269.9,273.67,144632000.0,275.22331896225717,270.4606810377429,272.84200000000004,272.118,270.09796666578524,266.17816167309195,269.56,272.1610372522633
